Target,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB],CcdRow[1-7],Fov[FovP=preceding/FovF=following],scanAngle[rad],parallaxFactorAlongScan,CcdStrip[1-11],transitid,mjd,psi_deg,spsi_obs,cpsi_obs,ppfact_obs,theta,ref_epoch,centroidPosAl_mas,centroidPosAlError_mas,relative_time_year,source_id,sigma_da_mas,da_mas,strip
HD40503,2457619.726719421,5,FoVF,1.8729977907644408,0.6752706608456571,6,35,57619.22671942087,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.18414385278419,0.1568658558213193,0.6316953303788334,2884087104955208064,0.1568658558213193,-65.18414385278419,6
HD40503,2457619.7267715046,5,FoVF,1.8729977907644408,0.6752706608456571,7,35,57619.22677150462,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.0129381741738,0.15048764018284919,0.6316954729763675,2884087104955208064,0.15048764018284919,-65.0129381741738,7
HD40503,2457619.726823588,5,FoVF,1.8729977907644408,0.6752706608456571,8,35,57619.2268235879,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.13265916250097,0.17559603381187558,0.6316956155726267,2884087104955208064,0.17559603381187558,-65.13265916250097,8
HD40503,2457619.726875671,5,FoVF,1.8729977907644408,0.6752706608456571,9,35,57619.226875671186,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.0551658266844,0.13216154492362872,0.6316957581688858,2884087104955208064,0.13216154492362872,-65.0551658266844,9
HD40503,2457619.7269277545,5,FoVF,1.8729977907644408,0.6752706608456571,10,35,57619.22692775447,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.12730558554507,0.1828819772362408,0.631695900765145,2884087104955208064,0.1828819772362408,-65.12730558554507,10
HD40503,2457619.7269798378,5,FoVF,1.8729977907644408,0.6752706608456571,11,35,57619.22697983775,107.3148684481297,0.95468359757259,-0.29762262771143094,0.6752706608456571,107.3148684481297,2016.0,-65.35182837112104,0.17062306346305234,0.6316960433614042,2884087104955208064,0.17062306346305234,-65.35182837112104,11
HD40503,2457656.3723090743,6,FoVP,-2.319004676953707,-0.7151783748640919,1,36,57655.87230907427,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.6539214151431842,0.5927363321975507,0.7320254868563216,2884087104955208064,0.5927363321975507,3.6539214151431842,1
HD40503,2457656.3723611576,6,FoVP,-2.319004676953707,-0.7151783748640919,3,36,57655.872361157555,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.433093332775596,0.11233131167687713,0.7320256294525808,2884087104955208064,0.11233131167687713,3.433093332775596,3
HD40503,2457656.372413241,6,FoVP,-2.319004676953707,-0.7151783748640919,4,36,57655.87241324084,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.1932198856596625,0.15062346536632562,0.7320257720488399,2884087104955208064,0.15062346536632562,3.1932198856596625,4
HD40503,2457656.372465324,6,FoVP,-2.319004676953707,-0.7151783748640919,5,36,57655.87246532412,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.491810751341129,0.1461927140423646,0.7320259146450991,2884087104955208064,0.1461927140423646,3.491810751341129,5
HD40503,2457656.3725174074,6,FoVP,-2.319004676953707,-0.7151783748640919,6,36,57655.872517407406,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.5788198970015936,0.17474504241529348,0.7320260572413583,2884087104955208064,0.17474504241529348,3.5788198970015936,6
HD40503,2457656.372569491,6,FoVP,-2.319004676953707,-0.7151783748640919,7,36,57655.872569491155,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.3976197850703933,0.13648807931223658,0.7320261998388924,2884087104955208064,0.13648807931223658,3.3976197850703933,7
HD40503,2457656.3726215744,6,FoVP,-2.319004676953707,-0.7151783748640919,8,36,57655.87262157444,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.5741768997342906,0.13124014365457007,0.7320263424351515,2884087104955208064,0.13124014365457007,3.5741768997342906,8
HD40503,2457656.3726736577,6,FoVP,-2.319004676953707,-0.7151783748640919,9,36,57655.87267365772,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.513967358190726,0.1516273082046435,0.7320264850314108,2884087104955208064,0.1516273082046435,3.513967358190726,9
HD40503,2457656.372725741,6,FoVP,-2.319004676953707,-0.7151783748640919,10,36,57655.87272574101,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.6663145789333456,0.1502956355837634,0.7320266276276699,2884087104955208064,0.1502956355837634,3.6663145789333456,10
HD40503,2457656.3727778243,6,FoVP,-2.319004676953707,-0.7151783748640919,11,36,57655.87277782429,-132.8691806605463,-0.7329089518329215,-0.6803267364459289,-0.7151783748640919,-132.8691806605463,2016.0,3.3889768678001566,0.15418374287214742,0.732026770223929,2884087104955208064,0.15418374287214742,3.3889768678001566,11
HD40503,2457688.4322788427,6,FoVF,2.932723390865166,0.6603749205687494,2,37,57687.932278842665,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-63.58384880727233,0.5609892914116924,0.8198009003221499,2884087104955208064,0.5609892914116924,-63.58384880727233,2
HD40503,2457688.432330926,6,FoVF,2.932723390865166,0.6603749205687494,3,37,57687.93233092595,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.32957438866835,0.153781231374549,0.819801042918409,2884087104955208064,0.153781231374549,-64.32957438866835,3
HD40503,2457688.432383009,6,FoVF,2.932723390865166,0.6603749205687494,4,37,57687.93238300923,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.48946832571964,0.1401536663127202,0.8198011855146683,2884087104955208064,0.1401536663127202,-64.48946832571964,4
HD40503,2457688.4324350925,6,FoVF,2.932723390865166,0.6603749205687494,5,37,57687.932435092516,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.2373675475138,0.16242971253043376,0.8198013281109274,2884087104955208064,0.16242971253043376,-64.2373675475138,5
HD40503,2457688.432487176,6,FoVF,2.932723390865166,0.6603749205687494,6,37,57687.9324871758,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.29076035343421,0.17480448563105025,0.8198014707071866,2884087104955208064,0.17480448563105025,-64.29076035343421,6
HD40503,2457688.4325392595,6,FoVF,2.932723390865166,0.6603749205687494,7,37,57687.93253925955,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.6669547716022,0.15403857947092112,0.8198016133047207,2884087104955208064,0.15403857947092112,-64.6669547716022,7
HD40503,2457688.432591343,6,FoVF,2.932723390865166,0.6603749205687494,8,37,57687.93259134283,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.46299335877174,0.19407527351266696,0.8198017559009798,2884087104955208064,0.19407527351266696,-64.46299335877174,8
HD40503,2457688.432643426,6,FoVF,2.932723390865166,0.6603749205687494,9,37,57687.93264342612,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.57488677187702,0.1473190319457394,0.8198018984972391,2884087104955208064,0.1473190319457394,-64.57488677187702,9
HD40503,2457688.4326955094,6,FoVF,2.932723390865166,0.6603749205687494,10,37,57687.9326955094,168.0326727758697,0.20735387080507628,-0.9782660028142406,0.6603749205687494,168.0326727758697,2016.0,-64.79150408610879,0.16352247398791653,0.8198020410934982,2884087104955208064,0.16352247398791653,-64.79150408610879,10
